blind_id,candidate_id,review_order,review_batch,next_action,suggested_human_label,reviewer_task,review_note_prompt
BR-001,1357352003-0272,57,04_strong_single_frame_check,single_frame_visual_review,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-002,1358063287-0081,104,05_low_priority_hold,review_as_negative_example,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-003,1357676285-0213,102,05_low_priority_hold,review_as_negative_example,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-004,1357649284-0160,53,03_negative_artifact_examples,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-005,1357352003-0215,41,03_negative_artifact_examples,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-006,1357811330-0180,58,04_strong_single_frame_check,single_frame_visual_review,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-007,1356990399-0279,31,02_temporal_persistence_check,temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-008,1356985927-0354,26,02_temporal_persistence_check,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-009,1357665093-0016,69,04_strong_single_frame_check,single_frame_visual_review,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-010,1357806858-0398,38,03_negative_artifact_examples,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-011,1358117287-0194,48,03_negative_artifact_examples,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-012,1357658115-0139,98,05_low_priority_hold,review_as_negative_example,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-013,1357649115-0135,100,05_low_priority_hold,review_as_negative_example,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-014,1356985927-0197,20,02_temporal_persistence_check,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-015,1356976983-0147,16,02_temporal_persistence_check,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-016,1357667116-0147,99,05_low_priority_hold,review_as_negative_example,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-017,1357637415-0069,68,04_strong_single_frame_check,single_frame_visual_review,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-018,1358117287-0242,87,05_low_priority_hold,review_as_negative_example,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-019,1357638093-0061,76,04_strong_single_frame_check,single_frame_visual_review,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-020,1357631284-0168,56,03_negative_artifact_examples,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-021,1358063287-0234,93,05_low_priority_hold,review_as_negative_example,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-022,1357667285-0154,54,03_negative_artifact_examples,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-023,1356985927-0189,32,02_temporal_persistence_check,temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-024,1357885387-0218,6,01_known_validation_positive,confirm_known_validation_mark,known-lightning,Confirm that the detector candidate matches the published lightning location.,Record whether the crop visually matches the published mark and whether the nearby context looks plausible.
BR-025,1357646415-0076,64,04_strong_single_frame_check,single_frame_visual_review,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-026,1358063118-0224,40,03_negative_artifact_examples,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-027,1356990399-0263,22,02_temporal_persistence_check,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-028,1357685285-0216,90,05_low_priority_hold,review_as_negative_example,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
