review_rank,candidate_id,image_id,run_date,x,y,crop_url,review_category,next_action,suggested_label,human_label,confidence,reviewer,review_note,snr,blob_size,artifact_flags,frame_count,motion_consistency,candidate_score,reason
1,1357029177-0148,N1357029177,2001-01-01,731.37,212.49,/api/detection-crop?image=1357029177&x=731&y=212&crop=128,published_match,confirm_known_validation_mark,known-lightning,,,,,27.55,75,,2,1.000,0.6277,Published validation target should be checked and labeled first.
2,1357029177-0219,N1357029177,2001-01-01,847.00,402.23,/api/detection-crop?image=1357029177&x=847&y=402&crop=128,published_match,confirm_known_validation_mark,known-lightning,,,,,24.75,13,,1,1.000,0.4360,Published validation target should be checked and labeled first.
3,1357810970-0228,N1357810970,2001-01-10,951.80,333.08,/api/detection-crop?image=1357810970&x=952&y=333&crop=128,published_match,confirm_known_validation_mark,known-lightning,,,,,8.14,15,,1,1.000,0.3364,Published validation target should be checked and labeled first.
4,1357810970-0239,N1357810970,2001-01-10,955.53,354.96,/api/detection-crop?image=1357810970&x=956&y=355&crop=128,published_match,confirm_known_validation_mark,known-lightning,,,,,7.92,87,,1,,0.0000,Published validation target should be checked and labeled first.
5,1357885387-0203,N1357885387,2001-01-11,776.00,318.00,/api/detection-crop?image=1357885387&x=776&y=318&crop=128,published_match,confirm_known_validation_mark,known-lightning,,,,,7.50,1,single_pixel|too_small,1,,0.0000,Published validation target should be checked and labeled first.
6,1357885387-0218,N1357885387,2001-01-11,769.65,339.50,/api/detection-crop?image=1357885387&x=770&y=340&crop=128,published_match,confirm_known_validation_mark,known-lightning,,,,,7.06,14,,1,,0.0000,Published validation target should be checked and labeled first.
7,1356990399-0202,N1356990399,2000-12-31,402.62,656.20,/api/detection-crop?image=1356990399&x=403&y=656&crop=128,top_unmatched_temporal_track,priority_temporal_review,uncertain,,,,,41.20,5,,3,0.919,0.7672,Repeated candidate with strong pixel-motion consistency.
8,1356976983-0161,N1356976983,2000-12-31,62.82,480.68,/api/detection-crop?image=1356976983&x=63&y=481&crop=128,top_unmatched_temporal_track,priority_temporal_review,uncertain,,,,,31.42,4,,3,0.972,0.7556,Repeated candidate with strong pixel-motion consistency.
9,1356990399-0080,N1356990399,2000-12-31,900.63,316.07,/api/detection-crop?image=1356990399&x=901&y=316&crop=128,top_unmatched_temporal_track,priority_temporal_review,uncertain,,,,,30.93,6,,3,0.925,0.7438,Repeated candidate with strong pixel-motion consistency.
10,1356985927-0141,N1356985927,2000-12-31,730.33,432.12,/api/detection-crop?image=1356985927&x=730&y=432&crop=128,top_unmatched_temporal_track,priority_temporal_review,uncertain,,,,,36.45,4,,3,0.922,0.7429,Repeated candidate with strong pixel-motion consistency.
11,1356985927-0245,N1356985927,2000-12-31,612.58,709.56,/api/detection-crop?image=1356985927&x=613&y=710&crop=128,top_unmatched_temporal_track,priority_temporal_review,uncertain,,,,,23.17,4,,3,0.920,0.7424,Repeated candidate with strong pixel-motion consistency.
12,1356985927-0162,N1356985927,2000-12-31,835.23,498.82,/api/detection-crop?image=1356985927&x=835&y=499&crop=128,top_unmatched_temporal_track,priority_temporal_review,uncertain,,,,,24.92,3,,3,0.950,0.7383,Repeated candidate with strong pixel-motion consistency.
13,1356990399-0013,N1356990399,2000-12-31,626.28,57.49,/api/detection-crop?image=1356990399&x=626&y=57&crop=128,top_unmatched_temporal_track,priority_temporal_review,uncertain,,,,,31.06,3,,3,0.888,0.7344,Repeated candidate with strong pixel-motion consistency.
14,1356985927-0123,N1356985927,2000-12-31,515.70,403.81,/api/detection-crop?image=1356985927&x=516&y=404&crop=128,top_unmatched_temporal_track,priority_temporal_review,uncertain,,,,,42.51,4,,3,0.879,0.7323,Repeated candidate with strong pixel-motion consistency.
15,1356990399-0030,N1356990399,2000-12-31,445.85,114.86,/api/detection-crop?image=1356990399&x=446&y=115&crop=128,top_unmatched_temporal_track,priority_temporal_review,uncertain,,,,,46.63,3,,3,0.972,0.7305,Repeated candidate with strong pixel-motion consistency.
16,1356976983-0147,N1356976983,2000-12-31,718.12,439.44,/api/detection-crop?image=1356976983&x=718&y=439&crop=128,top_unmatched_temporal_track,priority_temporal_review,uncertain,,,,,39.54,4,,3,0.946,0.7305,Repeated candidate with strong pixel-motion consistency.
17,1356990399-0193,N1356990399,2000-12-31,744.43,625.61,/api/detection-crop?image=1356990399&x=744&y=626&crop=128,top_unmatched_temporal_track,priority_temporal_review,uncertain,,,,,30.54,5,,3,0.757,0.7268,Repeated candidate with strong pixel-motion consistency.
18,1356990399-0086,N1356990399,2000-12-31,647.43,332.24,/api/detection-crop?image=1356990399&x=647&y=332&crop=128,top_unmatched_temporal_track,priority_temporal_review,uncertain,,,,,18.02,3,,3,0.826,0.7190,Repeated candidate with strong pixel-motion consistency.
19,1356990399-0056,N1356990399,2000-12-31,218.44,234.51,/api/detection-crop?image=1356990399&x=218&y=235&crop=128,top_unmatched_temporal_track,priority_temporal_review,uncertain,,,,,46.05,4,,3,0.840,0.7166,Repeated candidate with strong pixel-motion consistency.
20,1356985927-0197,N1356985927,2000-12-31,116.23,575.74,/api/detection-crop?image=1356985927&x=116&y=576&crop=128,top_unmatched_temporal_track,priority_temporal_review,uncertain,,,,,47.55,5,,3,0.914,0.7160,Repeated candidate with strong pixel-motion consistency.
21,1356985927-0308,N1356985927,2000-12-31,922.55,771.33,/api/detection-crop?image=1356985927&x=923&y=771&crop=128,top_unmatched_temporal_track,priority_temporal_review,uncertain,,,,,16.06,3,,3,0.789,0.7097,Repeated candidate with strong pixel-motion consistency.
