review_order,review_batch,candidate_id,image_id,run_date,x,y,crop_url,next_action,suggested_human_label,reviewer_task,snr,blob_size,artifact_flags,frame_count,motion_consistency,candidate_score,review_note_prompt
37,03_negative_artifact_examples,1357685116-0026,N1357685116,2001-01-08,715.00,96.00,/api/detection-crop?image=1357685116&x=715&y=96&crop=128,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,366.52,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
38,03_negative_artifact_examples,1357806858-0398,N1357806858,2001-01-10,402.00,601.00,/api/detection-crop?image=1357806858&x=402&y=601&crop=128,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,296.12,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
39,03_negative_artifact_examples,1357811330-0392,N1357811330,2001-01-10,402.00,601.00,/api/detection-crop?image=1357811330&x=402&y=601&crop=128,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,292.83,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
40,03_negative_artifact_examples,1358063118-0224,N1358063118,2001-01-13,988.00,902.00,/api/detection-crop?image=1358063118&x=988&y=902&crop=128,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,200.02,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
41,03_negative_artifact_examples,1357352003-0215,N1357352003,2001-01-05,402.00,601.00,/api/detection-crop?image=1357352003&x=402&y=601&crop=128,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,191.47,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
42,03_negative_artifact_examples,1357691416-0701,N1357691416,2001-01-09,522.00,747.00,/api/detection-crop?image=1357691416&x=522&y=747&crop=128,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,176.83,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
43,03_negative_artifact_examples,1358117118-0283,N1358117118,2001-01-13,318.00,946.00,/api/detection-crop?image=1358117118&x=318&y=946&crop=128,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,172.49,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
44,03_negative_artifact_examples,1357806858-0226,N1357806858,2001-01-10,623.00,335.00,/api/detection-crop?image=1357806858&x=623&y=335&crop=128,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,152.87,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
45,03_negative_artifact_examples,1358108287-0180,N1358108287,2001-01-13,402.00,601.00,/api/detection-crop?image=1358108287&x=402&y=601&crop=128,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,151.10,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
46,03_negative_artifact_examples,1357352003-0267,N1357352003,2001-01-05,731.00,735.00,/api/detection-crop?image=1357352003&x=731&y=735&crop=128,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,150.99,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
47,03_negative_artifact_examples,1357811330-0216,N1357811330,2001-01-10,623.00,335.00,/api/detection-crop?image=1357811330&x=623&y=335&crop=128,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,150.48,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
48,03_negative_artifact_examples,1358117287-0194,N1358117287,2001-01-13,402.00,601.00,/api/detection-crop?image=1358117287&x=402&y=601&crop=128,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,150.02,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
49,03_negative_artifact_examples,1358063287-0194,N1358063287,2001-01-13,402.00,601.00,/api/detection-crop?image=1358063287&x=402&y=601&crop=128,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,148.97,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
50,03_negative_artifact_examples,1357685285-0182,N1357685285,2001-01-08,402.00,601.00,/api/detection-crop?image=1357685285&x=402&y=601&crop=128,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,147.11,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
51,03_negative_artifact_examples,1357658284-0162,N1357658284,2001-01-08,402.00,601.00,/api/detection-crop?image=1357658284&x=402&y=601&crop=128,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,144.03,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
52,03_negative_artifact_examples,1357676285-0173,N1357676285,2001-01-08,402.00,601.00,/api/detection-crop?image=1357676285&x=402&y=601&crop=128,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,143.75,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
53,03_negative_artifact_examples,1357649284-0160,N1357649284,2001-01-08,402.00,601.00,/api/detection-crop?image=1357649284&x=402&y=601&crop=128,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,143.46,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
54,03_negative_artifact_examples,1357667285-0154,N1357667285,2001-01-08,402.00,601.00,/api/detection-crop?image=1357667285&x=402&y=601&crop=128,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,141.09,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
55,03_negative_artifact_examples,1358063287-0001,N1358063287,2001-01-13,492.00,4.00,/api/detection-crop?image=1358063287&x=492&y=4&crop=128,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,139.15,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
56,03_negative_artifact_examples,1357631284-0168,N1357631284,2001-01-08,402.00,601.00,/api/detection-crop?image=1357631284&x=402&y=601&crop=128,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,137.63,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
