session_id,session_order,session_row,review_batch,candidate_id,image_id,run_date,x,y,crop_url,suggested_human_label,reviewer_task,snr,blob_size,artifact_flags,frame_count,motion_consistency,candidate_score,review_note_prompt,human_label,confidence,reviewer,review_note,review_stage,needs_second_review,reviewed_at
S005_03_negative_artifact_examples,5,1,03_negative_artifact_examples,1357685116-0026,N1357685116,2001-01-08,715.00,96.00,/api/detection-crop?image=1357685116&x=715&y=96&crop=128,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,366.52,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other.",,,,,first-review,,
S005_03_negative_artifact_examples,5,2,03_negative_artifact_examples,1357806858-0398,N1357806858,2001-01-10,402.00,601.00,/api/detection-crop?image=1357806858&x=402&y=601&crop=128,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,296.12,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other.",,,,,first-review,,
S005_03_negative_artifact_examples,5,3,03_negative_artifact_examples,1357811330-0392,N1357811330,2001-01-10,402.00,601.00,/api/detection-crop?image=1357811330&x=402&y=601&crop=128,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,292.83,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other.",,,,,first-review,,
S005_03_negative_artifact_examples,5,4,03_negative_artifact_examples,1358063118-0224,N1358063118,2001-01-13,988.00,902.00,/api/detection-crop?image=1358063118&x=988&y=902&crop=128,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,200.02,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other.",,,,,first-review,,
S005_03_negative_artifact_examples,5,5,03_negative_artifact_examples,1357352003-0215,N1357352003,2001-01-05,402.00,601.00,/api/detection-crop?image=1357352003&x=402&y=601&crop=128,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,191.47,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other.",,,,,first-review,,
S005_03_negative_artifact_examples,5,6,03_negative_artifact_examples,1357691416-0701,N1357691416,2001-01-09,522.00,747.00,/api/detection-crop?image=1357691416&x=522&y=747&crop=128,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,176.83,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other.",,,,,first-review,,
S005_03_negative_artifact_examples,5,7,03_negative_artifact_examples,1358117118-0283,N1358117118,2001-01-13,318.00,946.00,/api/detection-crop?image=1358117118&x=318&y=946&crop=128,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,172.49,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other.",,,,,first-review,,
S005_03_negative_artifact_examples,5,8,03_negative_artifact_examples,1357806858-0226,N1357806858,2001-01-10,623.00,335.00,/api/detection-crop?image=1357806858&x=623&y=335&crop=128,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,152.87,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other.",,,,,first-review,,
S005_03_negative_artifact_examples,5,9,03_negative_artifact_examples,1358108287-0180,N1358108287,2001-01-13,402.00,601.00,/api/detection-crop?image=1358108287&x=402&y=601&crop=128,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,151.10,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other.",,,,,first-review,,
S005_03_negative_artifact_examples,5,10,03_negative_artifact_examples,1357352003-0267,N1357352003,2001-01-05,731.00,735.00,/api/detection-crop?image=1357352003&x=731&y=735&crop=128,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,150.99,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other.",,,,,first-review,,
