review_rank,candidate_id,image_id,run_date,review_category,suggested_label,human_label,label_status,x,y,snr,blob_size,artifact_flags,frame_count,motion_consistency,candidate_score,next_action,reason
1,1357029177-0148,N1357029177,2001-01-01,published_match,known-lightning,,unlabeled,731.37,212.49,27.55,75,,2,1.000,0.6277,confirm_known_validation_mark,Published validation target should be checked and labeled first.
2,1357029177-0219,N1357029177,2001-01-01,published_match,known-lightning,,unlabeled,847.00,402.23,24.75,13,,1,1.000,0.4360,confirm_known_validation_mark,Published validation target should be checked and labeled first.
3,1357810970-0228,N1357810970,2001-01-10,published_match,known-lightning,,unlabeled,951.80,333.08,8.14,15,,1,1.000,0.3364,confirm_known_validation_mark,Published validation target should be checked and labeled first.
4,1357810970-0239,N1357810970,2001-01-10,published_match,known-lightning,,unlabeled,955.53,354.96,7.92,87,,1,,0.0000,confirm_known_validation_mark,Published validation target should be checked and labeled first.
5,1357885387-0203,N1357885387,2001-01-11,published_match,known-lightning,,unlabeled,776.00,318.00,7.50,1,single_pixel|too_small,1,,0.0000,confirm_known_validation_mark,Published validation target should be checked and labeled first.
6,1357885387-0218,N1357885387,2001-01-11,published_match,known-lightning,,unlabeled,769.65,339.50,7.06,14,,1,,0.0000,confirm_known_validation_mark,Published validation target should be checked and labeled first.
7,1356990399-0202,N1356990399,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,402.62,656.20,41.20,5,,3,0.919,0.7672,priority_temporal_review,Repeated candidate with strong pixel-motion consistency.
8,1356976983-0161,N1356976983,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,62.82,480.68,31.42,4,,3,0.972,0.7556,priority_temporal_review,Repeated candidate with strong pixel-motion consistency.
9,1356990399-0080,N1356990399,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,900.63,316.07,30.93,6,,3,0.925,0.7438,priority_temporal_review,Repeated candidate with strong pixel-motion consistency.
10,1356985927-0141,N1356985927,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,730.33,432.12,36.45,4,,3,0.922,0.7429,priority_temporal_review,Repeated candidate with strong pixel-motion consistency.
11,1356985927-0245,N1356985927,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,612.58,709.56,23.17,4,,3,0.920,0.7424,priority_temporal_review,Repeated candidate with strong pixel-motion consistency.
12,1356985927-0162,N1356985927,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,835.23,498.82,24.92,3,,3,0.950,0.7383,priority_temporal_review,Repeated candidate with strong pixel-motion consistency.
13,1356990399-0013,N1356990399,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,626.28,57.49,31.06,3,,3,0.888,0.7344,priority_temporal_review,Repeated candidate with strong pixel-motion consistency.
14,1356985927-0123,N1356985927,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,515.70,403.81,42.51,4,,3,0.879,0.7323,priority_temporal_review,Repeated candidate with strong pixel-motion consistency.
15,1356990399-0030,N1356990399,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,445.85,114.86,46.63,3,,3,0.972,0.7305,priority_temporal_review,Repeated candidate with strong pixel-motion consistency.
16,1356976983-0147,N1356976983,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,718.12,439.44,39.54,4,,3,0.946,0.7305,priority_temporal_review,Repeated candidate with strong pixel-motion consistency.
17,1356990399-0193,N1356990399,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,744.43,625.61,30.54,5,,3,0.757,0.7268,priority_temporal_review,Repeated candidate with strong pixel-motion consistency.
18,1356990399-0086,N1356990399,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,647.43,332.24,18.02,3,,3,0.826,0.7190,priority_temporal_review,Repeated candidate with strong pixel-motion consistency.
19,1356990399-0056,N1356990399,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,218.44,234.51,46.05,4,,3,0.840,0.7166,priority_temporal_review,Repeated candidate with strong pixel-motion consistency.
20,1356985927-0197,N1356985927,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,116.23,575.74,47.55,5,,3,0.914,0.7160,priority_temporal_review,Repeated candidate with strong pixel-motion consistency.
21,1356985927-0308,N1356985927,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,922.55,771.33,16.06,3,,3,0.789,0.7097,priority_temporal_review,Repeated candidate with strong pixel-motion consistency.
22,1356990399-0263,N1356990399,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,382.48,864.12,43.14,3,,3,0.857,0.7018,priority_temporal_review,Repeated candidate with strong pixel-motion consistency.
23,1356981455-0275,N1356981455,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,343.62,791.13,38.33,10,,3,0.781,0.6962,priority_temporal_review,Repeated candidate with strong pixel-motion consistency.
24,1356981455-0109,N1356981455,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,909.59,321.38,14.01,3,,3,0.994,0.6950,priority_temporal_review,Repeated candidate with strong pixel-motion consistency.
25,1356985927-0012,N1356985927,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,493.50,54.00,11.67,4,,3,0.981,0.6917,priority_temporal_review,Repeated candidate with strong pixel-motion consistency.
26,1356985927-0354,N1356985927,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,558.34,822.42,14.54,5,,3,0.847,0.6866,priority_temporal_review,Repeated candidate with strong pixel-motion consistency.
27,1356976983-0402,N1356976983,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,713.50,944.42,8.78,13,,3,0.984,0.6862,priority_temporal_review,Repeated candidate with strong pixel-motion consistency.
28,1356985927-0074,N1356985927,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,905.42,252.21,35.64,3,,3,0.779,0.6822,priority_temporal_review,Repeated candidate with strong pixel-motion consistency.
29,1356985927-0055,N1356985927,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,451.71,196.90,44.99,3,,3,0.776,0.6815,priority_temporal_review,Repeated candidate with strong pixel-motion consistency.
30,1356990399-0348,N1356990399,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,734.98,945.68,8.34,3,,3,0.685,0.7089,temporal_review,Repeated candidate needs visual and geometry review.
31,1356990399-0279,N1356990399,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,859.48,919.10,16.78,6,,3,0.744,0.6985,temporal_review,Repeated candidate needs visual and geometry review.
32,1356985927-0189,N1356985927,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,752.72,567.15,33.22,9,,3,0.412,0.6904,temporal_review,Repeated candidate needs visual and geometry review.
33,1356985927-0173,N1356985927,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,180.25,527.56,12.51,3,,3,0.671,0.6868,temporal_review,Repeated candidate needs visual and geometry review.
34,1356976983-0095,N1356976983,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,389.49,311.88,19.69,4,,3,0.739,0.6753,temporal_review,Repeated candidate needs visual and geometry review.
35,1356985927-0198,N1356985927,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,433.66,575.91,41.70,3,,3,0.744,0.6735,temporal_review,Repeated candidate needs visual and geometry review.
36,1356976983-0286,N1356976983,2000-12-31,top_unmatched_temporal_track,uncertain,,unlabeled,349.71,798.22,44.32,5,,3,0.725,0.6687,temporal_review,Repeated candidate needs visual and geometry review.
37,1357352003-0272,N1357352003,2001-01-05,strong_single_frame_candidate,uncertain,,unlabeled,626.87,751.47,564.80,11,,1,1.000,0.4375,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
38,1357811330-0180,N1357811330,2001-01-10,strong_single_frame_candidate,uncertain,,unlabeled,637.48,276.04,434.10,9,,1,1.000,0.4375,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
39,1357811330-0399,N1357811330,2001-01-10,strong_single_frame_candidate,uncertain,,unlabeled,807.98,614.96,428.93,34,,1,1.000,0.4375,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
40,1358099796-0108,N1358099796,2001-01-13,strong_single_frame_candidate,uncertain,,unlabeled,812.74,818.98,371.83,10,,1,1.000,0.4375,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
41,1357658284-0195,N1357658284,2001-01-08,strong_single_frame_candidate,uncertain,,unlabeled,713.61,689.45,370.72,16,,1,1.000,0.4375,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
42,1358105418-1483,N1358105418,2001-01-13,strong_single_frame_candidate,uncertain,,unlabeled,28.87,888.11,363.68,17,,1,1.000,0.4375,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
43,1357667285-0063,N1357667285,2001-01-08,strong_single_frame_candidate,uncertain,,unlabeled,164.06,271.23,363.49,9,,1,1.000,0.4375,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
44,1357646415-0076,N1357646415,2001-01-08,strong_single_frame_candidate,uncertain,,unlabeled,689.56,470.36,305.50,8,,1,1.000,0.4375,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
45,1358114587-0079,N1358114587,2001-01-13,strong_single_frame_candidate,uncertain,,unlabeled,259.57,429.91,229.84,9,,1,1.000,0.4375,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
46,1357628584-0070,N1357628584,2001-01-08,strong_single_frame_candidate,uncertain,,unlabeled,939.70,418.53,223.82,11,,1,1.000,0.4375,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
